player_id,name,team,status,reason,source_url,secondary_url
8475883,Frederik Andersen,EDM,out,"Setback in an offseason workout on the knee injury he carried through the playoffs; misses camp. Team expects him back late October.",https://heavy.com/sports/nhl/edmonton-oilers/oilers-confirm-troubling-injury-update-andersen/,https://www.cbssports.com/nhl/injuries/
8477503,Max Domi,TOR,out,"Back surgery in late May with reported complications; out indefinitely and misses camp. GM says no timeline.",https://www.prohockeyrumors.com/2026/09/max-domi-to-miss-start-of-maple-leafs-training-camp.html,https://www.cbssports.com/nhl/injuries/
8480873,Rasmus Sandin,WSH,out,"ACL surgery in April; 6-to-9-month window. GM hopes for the short side; earliest late October.",https://russianmachineneverbreaks.com/2026/09/03/rasmus-sandin-injury-update-acl-surgery-chris-patrick-capitals/,https://www.cbssports.com/nhl/injuries/
8477967,Thatcher Demko,VAN,ltir,"Hip surgery in January; no return timeline as of Sep 8. On LTIR; questionable for opening night.",https://www.dailyfaceoff.com/players/news/thatcher-demko/2722/page1,https://puckpedia.com/injuries
8478042,Viktor Arvidsson,DET,day_to_day,"Fractured rib and punctured lung in May's playoffs; expected for camp.",https://www.rotowire.com/hockey/player/viktor-arvidsson-4743,
8482105,Jake Sanderson,OTT,day_to_day,"Concussion from the Apr 23 playoff game; questionable for opening night.",https://www.rotowire.com/hockey/player/jake-sanderson-6207,https://www.cbssports.com/nhl/injuries/
8479318,Auston Matthews,TOR,healthy,"MCL surgery in March; GM says he is full green-light for camp.",https://www.ginohard.com/auston-matthews-injury-chayka-green-light-leafs-camp/,
8483468,Jiri Kulich,BUF,day_to_day,"Blood clot surgically removed; expected to join camp in mid-September.",https://dobberhockey.com/2026/08/19/injury-ward-offseason-updates-on-marchand-terry-jarvis-mccann-matthews-more/,
8482245,Artem Zub,OTT,day_to_day,"Lower body; questionable for opening night.",https://www.cbssports.com/nhl/injuries/,https://puckpedia.com/injuries
8480849,Barrett Hayton,UTA,day_to_day,"Upper body; questionable for opening night.",https://www.cbssports.com/nhl/injuries/,https://puckpedia.com/injuries
8482074,Connor Zary,CGY,day_to_day,"Undisclosed; questionable for opening night.",https://www.cbssports.com/nhl/injuries/,https://puckpedia.com/injuries
8480860,Kevin Bahl,CGY,day_to_day,"Lower body; questionable for opening night.",https://www.cbssports.com/nhl/injuries/,https://puckpedia.com/injuries
8482165,Yan Kuznetsov,CGY,day_to_day,"Upper body; questionable for opening night.",https://www.cbssports.com/nhl/injuries/,https://puckpedia.com/injuries
8478891,Mason Appleton,DET,day_to_day,"Upper body; questionable for opening night.",https://www.cbssports.com/nhl/injuries/,https://puckpedia.com/injuries
8479992,Michael Rasmussen,DET,day_to_day,"Lower body; questionable for opening night.",https://www.cbssports.com/nhl/injuries/,https://puckpedia.com/injuries
8477507,Nikita Zadorov,BOS,day_to_day,"Knee; questionable for opening night.",https://www.cbssports.com/nhl/injuries/,https://puckpedia.com/injuries
8483500,Noah Ostlund,BUF,day_to_day,"Lower body; questionable for opening night.",https://www.cbssports.com/nhl/injuries/,https://puckpedia.com/injuries
8480995,Pontus Holmberg,TBL,day_to_day,"Collarbone; questionable for opening night.",https://www.cbssports.com/nhl/injuries/,https://puckpedia.com/injuries
